,s_rsam,s_mf,s_hf,s_dsar,f_temporal structure,f_amplitude / energy,f_other
"W+K+O+S
(with Whakaari)",0.7148333333333333,0.242,0.0385,0.004666666666666667,0.08916666666666667,0.8305,0.08033333333333334
all 5 sources,0.4635,0.2743333333333333,0.2515,0.010666666666666666,0.014333333333333333,0.9091666666666667,0.0765
"K+O+S
(no Whakaari)",0.252,0.43733333333333335,0.22716666666666666,0.0835,0.5463333333333333,0.37166666666666665,0.082
"O+S
(star pool)",0.43433333333333335,0.315,0.21783333333333332,0.03283333333333333,0.3395,0.5908333333333333,0.06966666666666667
